judet,data,categorie_pers,total_doze,astra,pfizer,moderna
Arad,2021-03-14,2,804,158,587,59
Arad,2021-03-14,3,1,0,0,1
Arad,2021-03-14,toate,863,163,640,60
Arad,2021-03-15,1,52,4,45,3
Arad,2021-03-15,2,1296,222,707,367
Arad,2021-03-15,3,5,5,0,0
Arad,2021-03-15,toate,1353,231,752,370
Arad,2021-03-16,1,23,2,17,4
Arad,2021-03-16,2,1134,171,586,377
Arad,2021-03-16,3,16,1,15,0
Arad,2021-03-16,toate,1173,174,618,381
Arad,2021-03-17,1,51,4,35,12
Arad,2021-03-17,2,978,140,552,286
Arad,2021-03-17,3,34,21,1,12
Arad,2021-03-17,toate,1063,165,588,310
Arad,2021-03-18,1,14,1,11,2
Arad,2021-03-18,2,892,115,565,212
Arad,2021-03-18,3,64,29,0,35
Arad,2021-03-18,toate,970,145,576,249
Arad,toate,1,564,124,409,31
Arad,toate,2,14789,2671,10109,2009
Arad,toate,3,128,59,19,50
Arad,toate,toate,15481,2854,10537,2090
Arges,2021-03-01,1,21,9,12,0
Arges,2021-03-01,2,771,267,504,0
Arges,2021-03-01,3,0,0,0,0
Arges,2021-03-01,toate,792,276,516,0
Arges,2021-03-02,1,26,10,16,0
Arges,2021-03-02,2,765,241,524,0
Arges,2021-03-02,3,0,0,0,0
Arges,2021-03-02,toate,791,251,540,0
Arges,2021-03-03,1,31,14,17,0
Arges,2021-03-03,2,753,230,523,0
Arges,2021-03-03,3,0,0,0,0
Arges,2021-03-03,toate,784,244,540,0
Arges,2021-03-04,1,66,11,44,11
Arges,2021-03-04,2,980,211,550,219
Arges,2021-03-04,3,0,0,0,0
Arges,2021-03-04,toate,1046,222,594,230
Arges,2021-03-05,1,31,13,16,2
Arges,2021-03-05,2,956,213,566,177
Arges,2021-03-05,3,0,0,0,0
Arges,2021-03-05,toate,987,226,582,179
Arges,2021-03-06,1,43,10,29,4
Arges,2021-03-06,2,1012,188,577,247
Arges,2021-03-06,3,0,0,0,0
Arges,2021-03-06,toate,1055,198,606,251
Arges,2021-03-07,1,21,8,9,4
Arges,2021-03-07,2,935,149,590,196
Arges,2021-03-07,3,1,0,1,0
Arges,2021-03-07,toate,957,157,600,200
Arges,2021-03-08,1,48,3,45,0
Arges,2021-03-08,2,866,158,608,100
Arges,2021-03-08,3,1,0,1,0
Arges,2021-03-08,toate,915,161,654,100
Arges,2021-03-09,1,38,5,33,0
Arges,2021-03-09,2,958,191,667,100
Arges,2021-03-09,3,2,0,2,0
Arges,2021-03-09,toate,998,196,702,100
Arges,2021-03-10,1,19,7,12,0
Arges,2021-03-10,2,1054,153,821,80
Arges,2021-03-10,3,1,0,1,0
Arges,2021-03-10,toate,1074,160,834,80
Arges,2021-03-11,1,21,8,13,0
Arges,2021-03-11,2,1012,149,783,80
Arges,2021-03-11,3,2,0,2,0
Arges,2021-03-11,toate,1035,157,798,80
Arges,2021-03-12,1,25,3,22,0
Arges,2021-03-12,2,922,130,733,59
Arges,2021-03-12,3,2,0,1,1
Arges,2021-03-12,toate,949,133,756,60
Arges,2021-03-13,1,20,4,11,5
Arges,2021-03-13,2,972,127,721,124
Arges,2021-03-13,3,0,0,0,0
Arges,2021-03-13,toate,992,131,732,129
Arges,2021-03-14,1,25,3,19,3
Arges,2021-03-14,2,874,134,645,95
Arges,2021-03-14,3,4,0,2,2
Arges,2021-03-14,toate,903,137,666,100
Arges,2021-03-15,1,26,2,17,7
Arges,2021-03-15,2,1076,153,558,365
Arges,2021-03-15,3,7,0,0,7
